184.164.243.10,4.64
184.164.243.16,4.35
184.164.243.31,1.93
184.164.243.127,3.36
184.164.243.123,7.48
184.164.243.192,0.07
184.164.243.190,7.39
184.164.243.85,0.44
184.164.243.153,1.83
184.164.243.243,0.74
184.164.243.166,2.83
184.164.243.151,1.39
184.164.243.147,7.58
184.164.243.203,4.01
184.164.243.14,0.84
184.164.243.10,1.55
184.164.243.214,1.45
184.164.243.90,0.27
184.164.243.227,3.61
184.164.243.241,1.04
184.164.243.120,5.11
184.164.243.242,0.98
184.164.243.199,5.52
184.164.243.224,0.47
184.164.243.117,1.57
184.164.243.218,4.32
184.164.243.205,2.31
184.164.243.115,2.54
184.164.243.128,0.89
184.164.243.186,6.9
184.164.243.63,0.93
184.164.243.208,1.7
184.164.243.181,9.87
184.164.243.253,5.99
184.164.243.4,0.33
184.164.243.41,1.31
184.164.243.174,3.4
184.164.243.96,1.6
184.164.243.234,1.03
184.164.243.226,5.91
184.164.243.48,2.96
184.164.243.166,12.43
184.164.243.231,2.23
184.164.243.229,5.74
184.164.243.29,4.66
184.164.243.242,11.56
184.164.243.12,1.66
184.164.243.18,7.09
184.164.243.175,0.02
184.164.243.208,1.33
184.164.243.125,2.57
184.164.243.44,3.74
184.164.243.250,7.38
184.164.243.101,12.37
184.164.243.163,0.56
184.164.243.126,0.63
184.164.243.38,7.54
184.164.243.178,3.86
184.164.243.131,1.29
184.164.243.11,0.67
184.164.243.80,0.4
184.164.243.51,11.18
184.164.243.160,5.24
184.164.243.188,7.33
184.164.243.81,6.68
184.164.243.223,1.95
184.164.243.13,3.75
184.164.243.91,2.61
184.164.243.89,2.35
184.164.243.123,12.74
184.164.243.204,6.02
184.164.243.183,4.95
184.164.243.11,10.16
184.164.243.236,3.43
184.164.243.229,20.73
184.164.243.60,3.73
184.164.243.144,3.95
184.164.243.224,5.54
184.164.243.54,0.83
184.164.243.42,5.47
184.164.243.132,0.09
184.164.243.63,13.96
184.164.243.28,4.16
184.164.243.37,0.32
184.164.243.32,14.57
184.164.243.147,6.86
184.164.243.83,1.58
184.164.243.67,5.56
184.164.243.21,4.41
184.164.243.89,0.27
184.164.243.165,5.73
184.164.243.205,3.46
184.164.243.3,2.52
184.164.243.154,2.93
184.164.243.174,4.92
184.164.243.5,2.46
184.164.243.165,3.32
184.164.243.158,1.13
184.164.243.194,10.33
184.164.243.122,0.69
