184.164.241.82,6.12
184.164.241.119,10.52
184.164.241.215,4.56
184.164.241.231,6.76
184.164.241.11,0.72
184.164.241.245,15.96
184.164.241.88,0.71
184.164.241.234,3.45
184.164.241.55,6.99
184.164.241.51,0.29
184.164.241.168,1.56
184.164.241.219,11.25
184.164.241.163,10.37
184.164.241.18,1.4
184.164.241.156,3.42
184.164.241.212,2.72
184.164.241.130,2.89
184.164.241.80,3.35
184.164.241.95,1.95
184.164.241.212,7.62
184.164.241.29,1.44
184.164.241.94,0.62
184.164.241.229,0.16
184.164.241.216,0.28
184.164.241.213,11.58
184.164.241.133,0.87
184.164.241.75,0.5
184.164.241.87,1.44
184.164.241.18,0.01
184.164.241.150,10.63
184.164.241.96,4.63
184.164.241.241,7.56
184.164.241.70,1.73
184.164.241.251,4.48
184.164.241.28,2.25
184.164.241.94,3.25
184.164.241.196,0.98
184.164.241.20,3.22
184.164.241.64,9.56
184.164.241.227,2.02
184.164.241.54,2.63
184.164.241.137,1.04
184.164.241.79,4.15
184.164.241.217,3.21
184.164.241.207,5.06
184.164.241.76,4.15
184.164.241.20,2.9
184.164.241.65,0.95
184.164.241.14,7.17
184.164.241.220,0.4
184.164.241.213,1.9
184.164.241.112,3.38
184.164.241.87,0.01
184.164.241.151,0.52
184.164.241.122,5.38
184.164.241.21,4.69
184.164.241.116,8.63
184.164.241.72,0.6
184.164.241.101,7.2
184.164.241.9,4.35
184.164.241.120,1.57
184.164.241.49,0.63
184.164.241.252,3.42
184.164.241.123,2.33
184.164.241.242,6.01
184.164.241.82,1.27
184.164.241.173,3.89
184.164.241.209,0.1
184.164.241.179,7.1
184.164.241.55,0.64
184.164.241.237,0.09
184.164.241.141,2.0
184.164.241.126,8.01
184.164.241.132,2.01
184.164.241.117,8.9
184.164.241.192,5.94
184.164.241.97,13.2
184.164.241.247,0.27
184.164.241.90,3.16
184.164.241.233,6.38
184.164.241.202,3.1
184.164.241.35,4.13
184.164.241.231,6.75
184.164.241.52,0.53
184.164.241.78,9.21
184.164.241.18,3.44
184.164.241.5,6.69
184.164.241.48,2.79
184.164.241.127,2.81
184.164.241.168,1.56
184.164.241.8,1.19
184.164.241.108,0.38
184.164.241.166,2.14
184.164.241.235,3.99
184.164.241.172,1.31
184.164.241.160,4.56
184.164.241.186,0.6
184.164.241.207,0.81
184.164.241.210,5.31
184.164.241.191,0.75
