184.164.243.177,0.55
184.164.243.5,0.45
184.164.243.147,2.99
184.164.243.27,3.17
184.164.243.108,1.58
184.164.243.207,0.09
184.164.243.242,0.62
184.164.243.24,1.75
184.164.243.211,2.18
184.164.243.106,1.65
184.164.243.189,3.19
184.164.243.212,0.51
184.164.243.199,0.56
184.164.243.246,1.01
184.164.243.246,0.38
184.164.243.60,4.69
184.164.243.216,0.69
184.164.243.171,7.06
184.164.243.229,0.37
184.164.243.5,0.51
184.164.243.36,0.12
184.164.243.110,0.12
184.164.243.240,0.43
184.164.243.121,4.54
184.164.243.41,0.33
184.164.243.21,0.64
184.164.243.4,3.84
184.164.243.29,0.05
184.164.243.11,1.09
184.164.243.89,0.34
184.164.243.146,0.78
184.164.243.65,3.53
184.164.243.227,3.74
184.164.243.195,0.68
184.164.243.37,1.14
184.164.243.140,7.55
184.164.243.84,0.96
184.164.243.182,0.35
184.164.243.125,0.87
184.164.243.219,0.99
184.164.243.56,4.26
184.164.243.117,2.37
184.164.243.168,1.05
184.164.243.243,0.54
184.164.243.25,2.79
184.164.243.64,0.26
184.164.243.203,2.51
184.164.243.54,3.78
184.164.243.227,5.0
184.164.243.81,0.5
184.164.243.2,4.34
184.164.243.253,1.98
184.164.243.184,4.96
184.164.243.108,7.59
184.164.243.234,1.31
184.164.243.160,0.63
184.164.243.1,0.34
184.164.243.148,3.09
184.164.243.8,6.9
184.164.243.17,0.58
184.164.243.252,0.03
184.164.243.18,5.82
184.164.243.181,1.47
184.164.243.171,0.31
184.164.243.74,2.96
184.164.243.165,0.55
184.164.243.23,0.54
184.164.243.206,0.43
184.164.243.211,1.7
184.164.243.158,9.58
184.164.243.195,0.03
184.164.243.184,0.33
184.164.243.203,3.37
184.164.243.113,2.16
184.164.243.226,2.66
184.164.243.66,0.31
184.164.243.254,0.19
184.164.243.190,0.01
184.164.243.92,0.27
184.164.243.154,3.08
184.164.243.187,0.57
184.164.243.170,0.38
184.164.243.99,0.67
184.164.243.17,3.06
184.164.243.57,2.62
184.164.243.181,3.48
184.164.243.1,0.55
184.164.243.165,1.47
184.164.243.129,0.8
184.164.243.72,2.34
184.164.243.128,0.22
184.164.243.18,1.31
184.164.243.79,0.5
184.164.243.191,0.42
184.164.243.84,3.35
184.164.243.116,2.82
184.164.243.51,1.31
184.164.243.252,1.36
184.164.243.30,1.33
184.164.243.231,2.78
