184.164.242.187,0.42
184.164.242.214,3.0
184.164.242.24,0.34
184.164.242.2,1.56
184.164.242.201,2.15
184.164.242.98,0.45
184.164.242.164,1.13
184.164.242.124,4.23
184.164.242.103,1.26
184.164.242.35,2.92
184.164.242.7,0.13
184.164.242.161,0.93
184.164.242.121,3.14
184.164.242.146,0.13
184.164.242.192,0.5
184.164.242.84,0.28
184.164.242.147,4.06
184.164.242.174,4.04
184.164.242.244,1.78
184.164.242.15,1.18
184.164.242.91,1.24
184.164.242.203,1.88
184.164.242.79,4.56
184.164.242.217,0.7
184.164.242.192,0.14
184.164.242.139,1.09
184.164.242.59,1.3
184.164.242.81,1.39
184.164.242.215,0.9
184.164.242.74,2.01
184.164.242.190,0.25
184.164.242.33,0.12
184.164.242.105,0.34
184.164.242.241,0.05
184.164.242.77,2.83
184.164.242.211,2.58
184.164.242.45,0.45
184.164.242.25,1.96
184.164.242.59,1.14
184.164.242.244,3.57
184.164.242.249,0.51
184.164.242.202,2.94
184.164.242.104,3.72
184.164.242.230,0.2
184.164.242.93,3.23
184.164.242.210,0.62
184.164.242.254,0.04
184.164.242.168,1.09
184.164.242.120,0.18
184.164.242.86,5.82
184.164.242.246,6.07
184.164.242.200,1.72
184.164.242.57,3.49
184.164.242.63,0.73
184.164.242.21,4.89
184.164.242.19,1.43
184.164.242.230,1.24
184.164.242.182,0.43
184.164.242.100,0.66
184.164.242.150,1.08
184.164.242.74,1.74
184.164.242.251,0.24
184.164.242.141,4.6
184.164.242.187,0.08
184.164.242.213,0.82
184.164.242.248,3.28
184.164.242.150,6.04
184.164.242.20,1.25
184.164.242.96,2.87
184.164.242.140,0.53
184.164.242.1,0.26
184.164.242.195,2.22
184.164.242.142,3.38
184.164.242.231,1.24
184.164.242.136,1.95
184.164.242.59,1.04
184.164.242.82,2.39
184.164.242.12,0.31
184.164.242.119,0.81
184.164.242.85,2.54
184.164.242.201,2.88
184.164.242.202,0.27
184.164.242.163,2.17
184.164.242.236,1.37
184.164.242.241,0.24
184.164.242.47,0.72
184.164.242.68,0.12
184.164.242.248,1.51
184.164.242.116,1.88
184.164.242.152,0.45
184.164.242.60,1.17
184.164.242.166,1.17
184.164.242.238,3.58
184.164.242.195,1.4
184.164.242.89,1.31
184.164.242.233,0.35
184.164.242.230,2.57
184.164.242.48,2.84
184.164.242.76,1.07
184.164.242.143,1.94
